ID,F_p,638 Red(Peak)
4365,49,49
4366,33,33
4367,17,17
4368,42,42
4369,7,7
4370,58,58
4371,31,31
4372,11,11
4373,42,42
4374,36,36
4375,17,17
4376,41,41
4377,45,45
4378,15,15
4379,51,51
4380,31,31
4381,90,90
4382,20,20
4383,32,32
4384,23,23
4385,24,24
4386,7,7
4387,50,50
4388,20,20
4389,16,16
4390,36,36
4391,0,0
4392,41,41
4393,54,54
4394,17,17
4395,73,73
4396,69,69
4397,21,21
4398,1,1
4399,48,48
4400,15,15
4401,30,30
4402,19,19
4403,27,27
4404,30,30
4405,1,1
4406,62,62
4407,45,45
4408,167,167
4409,21,21
4410,39,39
4411,33,33
4412,74,74
4413,14,14
4414,30,30
4415,24,24
4416,108,108
4417,17,17
4418,0,0
4419,22,22
4420,35,35
4421,53,53
4422,60,60
4423,61,61
4424,36,36
4425,13,13
4426,20,20
4427,6,6
4428,47,47
4429,0,0
4430,20,20
4431,46,46
4432,102,102
4433,21,21
4434,6,6
4435,57,57
4436,14,14
4437,81,81
4438,11,11
4439,22,22
4440,29,29
4441,1,1
4442,0,0
4443,7,7
4444,59,59
4445,54,54
4446,53,53
4447,5,5
4448,27,27
4449,5,5
4450,71,71
4451,40,40
4452,16,16
4453,7,7
4454,8,8
4455,29,29
4456,45,45
4457,23,23
4458,34,34
4459,10,10
4460,93,93
4461,61,61
4462,37,37
4463,0,0
4464,74,74
4465,0,0
4466,27,27
4467,43,43
4468,52,52
4469,14,14
4470,19,19
4471,57,57
4472,23,23
4473,23,23
4474,8,8
4475,126,126
4476,66,66
4477,19,19
4478,14,14
4479,30,30
4480,55,55
4481,61,61
4482,7,7
4483,28,28
4484,26,26
4485,7,7
4486,8,8
4487,67,67
4488,60,60
4489,12,12
4490,84,84
4491,17,17
4492,44,44
4493,53,53
4494,21,21
4495,13,13
4496,33,33
4497,28,28
4498,10,10
4499,14,14
4500,36,36
4501,17,17
4502,39,39
4503,4,4
4504,11,11
4505,66,66
4506,61,61
4507,19,19
4508,40,40
4509,17,17
4510,21,21
4511,60,60
4512,34,34
4513,12,12
4514,41,41
4515,12,12
4516,72,72
4517,6,6
4518,65,65
4519,24,24
4520,36,36
4521,11,11
4522,17,17
4523,0,0
4524,75,75
4525,24,24
4526,24,24
4527,3,3
4528,2,2
4529,62,62
4530,0,0
4531,127,127
4532,117,117
4533,18,18
4534,6,6
4535,35,35
4536,102,102
4537,0,0
4538,42,42
4539,45,45
4540,35,35
4541,38,38
4542,69,69
4543,15,15
4544,20,20
4545,26,26
4546,57,57
4547,37,37
4548,13,13
4549,2,2
4550,2,2
4551,7,7
4552,3,3
4553,51,51
4554,15,15
4555,16,16
4556,38,38
4557,28,28
4558,65,65
4559,30,30
4560,29,29
4561,35,35
4562,52,52
4563,78,78
4564,49,49
4565,13,13
4566,25,25
4567,101,101
4568,30,30
4569,9,9
4570,28,28
4571,8,8
4572,15,15
4573,78,78
4574,33,33
4575,78,78
4576,31,31
4577,27,27
4578,38,38
4579,10,10
4580,95,95
4581,31,31
4582,66,66
4583,265,265
4584,41,41
4585,32,32
4586,45,45
4587,37,37
4588,44,44
4589,28,28
4590,36,36
4591,131,131
4592,31,31
4593,53,53
4594,43,43
4595,37,37
4596,42,42
4597,42,42
4598,32,32
4599,8,8
4600,10,10
4601,25,25
4602,0,0
4603,36,36
4604,29,29
4605,12,12
4606,14,14
4607,22,22
4608,28,28
4609,16,16
4610,13,13
4611,33,33
4612,38,38
4613,41,41
4614,24,24
4615,7,7
4616,30,30
4617,12,12
4618,19,19
4619,26,26
4620,43,43
4621,16,16
4622,52,52
4623,17,17
4624,11,11
4625,29,29
4626,0,0
4627,10,10
4628,10,10
4629,12,12
4630,5,5
4631,7,7
4632,14,14
4633,1,1
4634,16,16
4635,73,73
4636,15,15
4637,83,83
4638,13,13
4639,30,30
4640,23,23
4641,23,23
4642,28,28
4643,98,98
4644,37,37
4645,0,0
4646,16,16
4647,28,28
4648,27,27
4649,41,41
4650,14,14
4651,27,27
4652,41,41
4653,6,6
4654,32,32
4655,19,19
4656,35,35
4657,46,46
4658,73,73
4659,28,28
4660,16,16
4661,6,6
4662,41,41
4663,10,10
4664,13,13
4665,10,10
4666,0,0
4667,9,9
4668,24,24
4669,0,0
4670,29,29
4671,25,25
4672,49,49
4673,7,7
4674,43,43
4675,3,3
4676,41,41
4677,11,11
4678,21,21
4679,67,67
4680,21,21
4681,54,54
4682,9,9
4683,33,33
4684,25,25
4685,0,0
4686,56,56
4687,23,23
4688,31,31
4689,79,79
4690,44,44
4691,6,6
4692,15,15
4693,87,87
4694,73,73
4695,22,22
4696,0,0
4697,37,37
4698,21,21
4699,0,0
4700,14,14
4701,20,20
4702,1,1
4703,66,66
4704,48,48
4705,23,23
4706,49,49
4707,40,40
4708,14,14
4709,50,50
4710,20,20
4711,0,0
4712,78,78
4713,86,86
4714,5,5
4715,43,43
4716,29,29
4717,107,107
4718,18,18
4719,32,32
4720,34,34
4721,35,35
4722,52,52
4723,0,0
4724,11,11
4725,8,8
4726,19,19
4727,41,41
4728,19,19
4729,24,24
4730,34,34
4731,22,22
4732,31,31
4733,5,5
4734,43,43
4735,102,102
4736,16,16
4737,77,77
4738,33,33
4739,28,28
4740,69,69
4741,44,44
4742,29,29
4743,7,7
4744,18,18
4745,22,22
4746,42,42
4747,10,10
4748,23,23
4749,0,0
4750,6,6
4751,27,27
4752,17,17
4753,18,18
4754,37,37
4755,41,41
4756,64,64
4757,123,123
4758,20,20
4759,38,38
4760,72,72
4761,52,52
4762,1,1
4763,0,0
4764,2,2
4765,17,17
4766,25,25
4767,58,58
4768,8,8
4769,92,92
4770,7,7
4771,5,5
4772,10,10
4773,9,9
4774,44,44
4775,5,5
4776,38,38
4777,24,24
4778,2,2
4779,3,3
4780,43,43
4781,7,7
4782,10,10
4783,18,18
4784,95,95
4785,26,26
4786,0,0
4787,21,21
4788,67,67
4789,40,40
4790,67,67
4791,37,37
4792,20,20
4793,42,42
4794,0,0
4795,49,49
4796,9,9
4797,21,21
4798,34,34
4799,52,52
4800,7,7
4801,30,30
4802,76,76
4803,148,148
4804,38,38
4805,0,0
4806,23,23
4807,39,39
4808,15,15
4809,23,23
4810,22,22
4811,25,25
4812,46,46
4813,2,2
4814,66,66
4815,20,20
4816,80,80
4817,25,25
4818,4,4
4819,19,19
4820,88,88
4821,50,50
4822,44,44
4823,0,0
4824,14,14
4825,0,0
4826,44,44
4827,20,20
4828,40,40
4829,13,13
4830,97,97
4831,215,215
4832,27,27
4833,35,35
4834,52,52
4835,32,32
4836,0,0
4837,0,0
4838,15,15
4839,43,43
4840,8,8
4841,16,16
4842,11,11
4843,50,50
4844,0,0
4845,11,11
4846,9,9
4847,290,290
4848,54,54
4849,19,19
4850,58,58
4851,29,29
4852,3,3
4853,9,9
4854,87,87
4855,48,48
4856,29,29
4857,33,33
4858,15,15
4859,60,60
4860,34,34
4861,50,50
4862,14,14
4863,66,66
4864,0,0
4865,49,49
4866,9,9
4867,30,30
4868,21,21
4869,7,7
4870,13,13
4871,31,31
4872,22,22
4873,25,25
4874,73,73
4875,8,8
4876,37,37
4877,0,0
4878,143,143
4879,11,11
4880,27,27
4881,30,30
4882,42,42
4883,66,66
4884,0,0
4885,34,34
4886,16,16
4887,8,8
4888,8,8
4889,74,74
4890,40,40
4891,40,40
4892,26,26
4893,41,41
4894,12,12
4895,40,40
4896,0,0
4897,36,36
4898,0,0
4899,47,47
4900,7,7
4901,22,22
4902,0,0
4903,0,0
4904,23,23
4905,11,11
4906,68,68
4907,46,46
4908,5,5
4909,7,7
4910,95,95
4911,30,30
4912,33,33
4913,29,29
4914,18,18
4915,0,0
4916,13,13
4917,22,22
4918,0,0
4919,40,40
4920,28,28
4921,12,12
4922,18,18
4923,3,3
4924,30,30
4925,27,27
4926,38,38
4927,48,48
4928,23,23
4929,33,33
4930,29,29
4931,2,2
4932,25,25
4933,41,41
4934,35,35
4935,64,64
4936,69,69
4937,57,57
4938,62,62
4939,15,15
4940,16,16
4941,28,28
4942,84,84
4943,40,40
4944,72,72
4945,38,38
4946,30,30
4947,23,23
4948,118,118
4949,41,41
4950,135,135
4951,42,42
4952,33,33
4953,24,24
4954,0,0
4955,33,33
4956,0,0
4957,79,79
4958,17,17
4959,25,25
4960,4,4
4961,71,71
4962,14,14
4963,0,0
4964,154,154
4965,34,34
4966,92,92
4967,73,73
4968,15,15
4969,10,10
4970,4,4
4971,0,0
4972,45,45
4973,93,93
4974,0,0
4975,25,25
4976,93,93
4977,37,37
4978,34,34
4979,36,36
4980,26,26
4981,38,38
4982,24,24
4983,92,92
4984,15,15
4985,14,14
4986,22,22
4987,39,39
4988,40,40
4989,28,28
4990,100,100
4991,69,69
4992,32,32
4993,19,19
4994,192,192
4995,0,0
4996,76,76
4997,9,9
4998,10,10
4999,17,17
5000,53,53
5001,16,16
5002,47,47
5003,34,34
5004,21,21
5005,49,49
5006,3,3
5007,3,3
5008,139,139
5009,29,29
5010,46,46
5011,7,7
5012,19,19
5013,19,19
5014,47,47
5015,14,14
5016,60,60
5017,80,80
5018,42,42
5019,8,8
5020,17,17
5021,77,77
5022,42,42
5023,34,34
5024,48,48
5025,26,26
5026,18,18
5027,31,31
5028,6,6
5029,0,0
5030,6,6
5031,1,1
5032,78,78
5033,10,10
5034,26,26
5035,0,0
5036,18,18
5037,0,0
5038,63,63
5039,16,16
5040,43,43
5041,16,16
5042,31,31
5043,49,49
5044,17,17
5045,66,66
5046,28,28
5047,14,14
5048,16,16
5049,44,44
5050,37,37
5051,34,34
5052,17,17
5053,14,14
5054,18,18
5055,53,53
5056,0,0
5057,40,40
5058,0,0
5059,67,67
5060,40,40
5061,14,14
5062,15,15
5063,7,7
5064,11,11
5065,22,22
5066,9,9
5067,63,63
5068,39,39
5069,19,19
5070,57,57
5071,48,48
5072,59,59
5073,40,40
5074,34,34
5075,45,45
5076,32,32
5077,76,76
5078,0,0
5079,9,9
5080,20,20
5081,53,53
5082,27,27
5083,16,16
5084,22,22
5085,9,9
5086,0,0
5087,0,0
5088,16,16
5089,1,1
5090,5,5
5091,46,46
5092,73,73
5093,13,13
5094,9,9
5095,12,12
5096,0,0
5097,89,89
5098,36,36
5099,7,7
5100,2,2
5101,18,18
5102,34,34
5103,0,0
5104,37,37
5105,20,20
5106,56,56
5107,2,2
5108,16,16
5109,28,28
5110,27,27
5111,83,83
5112,10,10
5113,2,2
5114,0,0
5115,39,39
5116,18,18
5117,62,62
5118,10,10
5119,8,8
5120,39,39
5121,60,60
5122,0,0
5123,11,11
5124,31,31
5125,0,0
5126,31,31
5127,56,56
5128,4,4
5129,28,28
5130,29,29
5131,46,46
5132,108,108
5133,7,7
5134,38,38
5135,33,33
5136,33,33
5137,0,0
5138,20,20
5139,24,24
5140,62,62
5141,4,4
5142,13,13
5143,32,32
5144,0,0
5145,474,474
5146,9,9
5147,11,11
5148,60,60
5149,3,3
5150,8,8
5151,61,61
5152,0,0
5153,47,47
5154,54,54
5155,10,10
5156,17,17
5157,8,8
5158,20,20
5159,107,107
5160,46,46
5161,20,20
5162,0,0
5163,9,9
5164,13,13
5165,3,3
5166,106,106
5167,20,20
5168,16,16
5169,18,18
5170,37,37
5171,81,81
5172,40,40
5173,49,49
5174,6,6
5175,28,28
5176,25,25
5177,117,117
5178,26,26
5179,0,0
5180,26,26
5181,9,9
5182,21,21
5183,87,87
5184,51,51
5185,2,2
5186,11,11
5187,24,24
5188,32,32
5189,198,198
5190,102,102
5191,13,13
5192,26,26
5193,86,86
5194,21,21
5195,40,40
5196,5,5
5197,10,10
5198,64,64
5199,34,34
5200,9,9
5201,53,53
5202,69,69
5203,94,94
5204,58,58
5205,18,18
5206,27,27
5207,26,26
5208,0,0
5209,44,44
5210,21,21
5211,3,3
5212,44,44
5213,36,36
5214,30,30
5215,22,22
5216,0,0
5217,28,28
5218,17,17
5219,95,95
5220,14,14
5221,0,0
5222,16,16
5223,8,8
5224,39,39
5225,11,11
5226,23,23
5227,13,13
5228,57,57
5229,39,39
5230,0,0
5231,52,52
5232,12,12
5233,11,11
5234,32,32
5235,41,41
5236,57,57
5237,21,21
5238,48,48
5239,17,17
5240,53,53
5241,32,32
5242,37,37
5243,45,45
5244,4,4
5245,38,38
5246,19,19
5247,8,8
5248,32,32
5249,25,25
5250,143,143
5251,38,38
5252,25,25
5253,20,20
5254,0,0
5255,12,12
5256,33,33
5257,20,20
5258,21,21
5259,68,68
5260,36,36
5261,29,29
5262,13,13
5263,34,34
5264,40,40
5265,26,26
5266,52,52
5267,13,13
5268,89,89
5269,11,11
5270,5,5
5271,85,85
5272,40,40
5273,0,0
5274,7,7
5275,12,12
5276,46,46
5277,0,0
5278,23,23
5279,13,13
5280,13,13
5281,47,47
5282,15,15
5283,15,15
5284,33,33
5285,42,42
5286,62,62
5287,3,3
5288,10,10
5289,19,19
5290,18,18
5291,51,51
5292,16,16
5293,14,14
5294,71,71
5295,0,0
5296,45,45
5297,23,23
5298,14,14
5299,12,12
5300,29,29
5301,25,25
5302,15,15
5303,36,36
5304,0,0
5305,4,4
5306,68,68
5307,5,5
5308,7,7
5309,21,21
5310,15,15
5311,11,11
5312,21,21
5313,27,27
5314,25,25
5315,15,15
5316,0,0
5317,76,76
5318,10,10
5319,33,33
5320,24,24
5321,136,136
5322,87,87
5323,47,47
5324,32,32
5325,33,33
5326,74,74
5327,6,6
5328,29,29
5329,14,14
5330,2,2
5331,42,42
5332,51,51
5333,0,0
5334,24,24
5335,58,58
5336,11,11
5337,58,58
5338,5,5
5339,23,23
5340,3,3
5341,0,0
5342,25,25
5343,43,43
5344,0,0
5345,68,68
5346,38,38
5347,43,43
5348,57,57
5349,0,0
5350,5,5
5351,12,12
5352,38,38
5353,17,17
5354,0,0
5355,36,36
5356,70,70
5357,58,58
5358,18,18
5359,16,16
5360,0,0
5361,53,53
5362,23,23
5363,29,29
5364,6,6
5365,6,6
5366,66,66
5367,4,4
5368,53,53
5369,77,77
5370,1,1
5371,17,17
5372,11,11
5373,38,38
5374,36,36
5375,7,7
5376,32,32
5377,70,70
5378,82,82
5379,5,5
5380,10,10
5381,20,20
5382,36,36
5383,37,37
5384,14,14
5385,72,72
5386,20,20
5387,15,15
5388,37,37
5389,3,3
5390,39,39
5391,40,40
5392,27,27
5393,59,59
5394,37,37
5395,0,0
5396,0,0
5397,9,9
5398,50,50
5399,79,79
5400,31,31
5401,17,17
5402,46,46
5403,6,6
5404,18,18
5405,50,50
5406,22,22
5407,27,27
5408,22,22
5409,25,25
5410,14,14
5411,27,27
5412,9,9
5413,37,37
5414,61,61
5415,18,18
5416,46,46
5417,26,26
5418,0,0
5419,55,55
5420,50,50
5421,4,4
5422,56,56
5423,78,78
5424,30,30
5425,22,22
5426,78,78
5427,141,141
5428,120,120
5429,30,30
5430,48,48
5431,43,43
5432,68,68
5433,15,15
5434,11,11
5435,38,38
5436,14,14
5437,50,50
5438,17,17
5439,20,20
5440,84,84
5441,71,71
5442,53,53
5443,70,70
5444,120,120
5445,32,32
5446,28,28
5447,52,52
5448,17,17
5449,4,4
5450,14,14
5451,21,21
5452,23,23
5453,85,85
5454,27,27
5455,42,42
5456,0,0
5457,24,24
5458,0,0
5459,11,11
5460,30,30
5461,38,38
5462,23,23
5463,68,68
5464,7,7
5465,41,41
5466,19,19
5467,5,5
5468,11,11
5469,6,6
5470,24,24
5471,34,34
5472,18,18
5473,21,21
5474,15,15
5475,40,40
5476,17,17
5477,5,5
5478,25,25
5479,32,32
5480,26,26
5481,0,0
5482,15,15
5483,43,43
5484,56,56
5485,55,55
5486,15,15
5487,23,23
5488,26,26
5489,26,26
5490,29,29
5491,11,11
5492,29,29
5493,21,21
5494,26,26
5495,2,2
5496,5,5
5497,31,31
5498,45,45
5499,127,127
5500,0,0
5501,8,8
5502,165,165
5503,55,55
5504,30,30
5505,7,7
5506,46,46
5507,42,42
5508,16,16
5509,0,0
5510,34,34
5511,20,20
5512,73,73
5513,8,8
5514,29,29
5515,1,1
5516,73,73
5517,14,14
5518,23,23
5519,79,79
5520,23,23
5521,0,0
5522,38,38
5523,33,33
5524,1,1
5525,0,0
5526,78,78
5527,27,27
5528,54,54
5529,35,35
5530,55,55
5531,118,118
5532,15,15
5533,6,6
5534,19,19
5535,17,17
5536,69,69
5537,26,26
5538,29,29
5539,23,23
5540,3,3
5541,93,93
5542,51,51
5543,14,14
5544,26,26
5545,23,23
5546,10,10
5547,24,24
5548,32,32
5549,55,55
5550,0,0
5551,30,30
5552,0,0
5553,46,46
5554,19,19
5555,79,79
5556,10,10
5557,10,10
5558,28,28
5559,28,28
5560,16,16
5561,75,75
5562,62,62
5563,34,34
5564,19,19
5565,20,20
5566,36,36
5567,19,19
5568,39,39
5569,26,26
5570,8,8
5571,35,35
5572,95,95
5573,22,22
5574,0,0
5575,60,60
5576,17,17
5577,25,25
5578,1,1
5579,103,103
5580,29,29
5581,5,5
5582,13,13
5583,2,2
5584,0,0
5585,50,50
5586,65,65
5587,68,68
5588,9,9
5589,32,32
5590,35,35
5591,47,47
5592,29,29
5593,23,23
5594,30,30
5595,25,25
5596,62,62
5597,32,32
5598,15,15
5599,27,27
5600,44,44
5601,20,20
5602,0,0
5603,27,27
5604,35,35
5605,31,31
5606,8,8
5607,21,21
5608,19,19
5609,23,23
5610,5,5
5611,34,34
5612,2,2
5613,19,19
5614,23,23
5615,6,6
5616,18,18
5617,15,15
5618,48,48
5619,48,48
5620,24,24
5621,40,40
5622,18,18
5623,10,10
5624,37,37
5625,53,53
5626,16,16
5627,1,1
5628,30,30
5629,0,0
5630,0,0
5631,10,10
5632,76,76
5633,22,22
5634,59,59
5635,23,23
5636,7,7
5637,50,50
5638,1,1
5639,74,74
5640,108,108
5641,19,19
5642,69,69
5643,13,13
5644,15,15
5645,82,82
5646,5,5
5647,53,53
5648,40,40
5649,15,15
5650,20,20
5651,19,19
5652,8,8
5653,0,0
5654,38,38
5655,72,72
5656,20,20
5657,41,41
5658,45,45
5659,13,13
5660,31,31
5661,40,40
5662,9,9
5663,66,66
5664,39,39
5665,41,41
5666,54,54
5667,14,14
5668,0,0
5669,120,120
5670,90,90
5671,20,20
5672,23,23
5673,21,21
5674,49,49
5675,23,23
5676,0,0
5677,27,27
5678,31,31
5679,38,38
5680,8,8
5681,31,31
5682,0,0
5683,74,74
5684,101,101
5685,40,40
5686,30,30
5687,51,51
5688,15,15
5689,10,10
5690,14,14
5691,94,94
5692,24,24
5693,42,42
5694,44,44
5695,55,55
5696,0,0
5697,37,37
5698,44,44
5699,80,80
5700,16,16
5701,0,0
5702,11,11
5703,39,39
5704,45,45
5705,47,47
5706,20,20
5707,23,23
5708,65,65
5709,30,30
5710,0,0
5711,19,19
5712,25,25
5713,34,34
5714,68,68
5715,43,43
5716,1,1
5717,43,43
5718,46,46
5719,9,9
5720,14,14
5721,23,23
5722,42,42
5723,0,0
5724,48,48
5725,73,73
5726,28,28
5727,31,31
5728,26,26
5729,45,45
5730,9,9
5731,39,39
5732,42,42
5733,58,58
5734,48,48
5735,42,42
5736,7,7
5737,51,51
5738,6,6
5739,40,40
5740,14,14
5741,20,20
5742,50,50
5743,21,21
5744,0,0
5745,15,15
5746,46,46
5747,59,59
5748,77,77
5749,102,102
5750,14,14
5751,44,44
5752,57,57
5753,10,10
5754,48,48
5755,48,48
5756,9,9
5757,6,6
5758,90,90
5759,93,93
5760,22,22
5761,43,43
5762,43,43
5763,21,21
5764,28,28
5765,54,54
5766,34,34
5767,19,19
5768,43,43
5769,27,27
5770,51,51
5771,0,0
5772,5,5
5773,97,97
5774,21,21
5775,15,15
5776,22,22
5777,7,7
5778,24,24
5779,30,30
5780,0,0
5781,14,14
5782,117,117
5783,21,21
5784,5,5
5785,59,59
5786,40,40
5787,29,29
5788,51,51
5789,0,0
5790,43,43
5791,23,23
5792,15,15
5793,52,52
5794,30,30
5795,5,5
5796,21,21
5797,39,39
5798,49,49
5799,20,20
5800,33,33
5801,16,16
5802,24,24
5803,43,43
5804,37,37
5805,39,39
5806,23,23
5807,35,35
5808,60,60
5809,12,12
5810,13,13
5811,36,36
5812,19,19
5813,48,48
5814,8,8
5815,22,22
5816,0,0
5817,52,52
5818,31,31
5819,19,19
5820,45,45
5821,14,14
5822,48,48
5823,114,114
5824,0,0
5825,33,33
5826,29,29
5827,25,25
5828,27,27
5829,47,47
5830,19,19
5831,29,29
5832,23,23
5833,1,1
5834,2,2
5835,9,9
5836,96,96
5837,58,58
5838,22,22
5839,12,12
5840,16,16
5841,10,10
5842,12,12
5843,22,22
5844,25,25
5845,30,30
5846,35,35
5847,77,77
5848,0,0
5849,55,55
5850,36,36
5851,23,23
5852,87,87
5853,3,3
5854,41,41
5855,0,0
5856,33,33
5857,32,32
5858,0,0
5859,41,41
5860,33,33
5861,30,30
5862,29,29
5863,10,10
5864,9,9
5865,22,22
5866,0,0
5867,80,80
5868,64,64
5869,50,50
5870,59,59
5871,37,37
5872,8,8
5873,12,12
5874,6,6
5875,16,16
5876,0,0
5877,29,29
5878,29,29
5879,8,8
5880,13,13
5881,10,10
5882,20,20
5883,4,4
5884,26,26
5885,13,13
5886,58,58
5887,56,56
5888,30,30
5889,24,24
5890,79,79
5891,66,66
5892,54,54
5893,28,28
5894,27,27
5895,43,43
5896,21,21
5897,57,57
5898,13,13
5899,40,40
5900,20,20
5901,13,13
5902,118,118
5903,43,43
5904,11,11
5905,5,5
5906,17,17
5907,62,62
5908,0,0
5909,31,31
5910,41,41
5911,68,68
5912,58,58
5913,24,24
5914,36,36
5915,3,3
5916,21,21
5917,41,41
5918,7,7
5919,25,25
5920,0,0
5921,25,25
5922,12,12
5923,7,7
5924,9,9
5925,28,28
5926,28,28
5927,9,9
5928,2,2
5929,43,43
5930,24,24
5931,30,30
5932,10,10
5933,12,12
5934,48,48
5935,95,95
5936,24,24
5937,27,27
5938,21,21
5939,13,13
5940,0,0
5941,44,44
5942,2,2
5943,55,55
5944,54,54
5945,19,19
5946,25,25
5947,75,75
5948,0,0
5949,49,49
5950,42,42
5951,24,24
5952,0,0
5953,15,15
5954,9,9
5955,8,8
5956,0,0
5957,1,1
5958,63,63
5959,12,12
5960,97,97
5961,8,8
5962,33,33
5963,76,76
5964,25,25
5965,64,64
5966,67,67
5967,29,29
5968,27,27
5969,20,20
5970,56,56
5971,117,117
5972,0,0
5973,21,21
5974,35,35
5975,44,44
5976,15,15
5977,60,60
5978,20,20
5979,42,42
5980,25,25
5981,67,67
5982,24,24
5983,19,19
5984,23,23
5985,6,6
5986,32,32
5987,23,23
5988,30,30
5989,59,59
5990,6,6
5991,7,7
5992,63,63
5993,11,11
5994,69,69
5995,10,10
5996,24,24
5997,18,18
5998,51,51
5999,30,30
6000,158,158
6001,13,13
6002,0,0
6003,82,82
6004,33,33
6005,80,80
6006,0,0
6007,25,25
6008,21,21
6009,0,0
6010,28,28
6011,17,17
6012,54,54
6013,20,20
6014,40,40
6015,0,0
6016,8,8
6017,42,42
6018,37,37
6019,13,13
6020,19,19
6021,13,13
6022,63,63
6023,34,34
6024,0,0
6025,77,77
6026,28,28
6027,76,76
6028,8,8
6029,98,98
6030,34,34
6031,28,28
6032,70,70
6033,0,0
6034,29,29
6035,0,0
6036,87,87
6037,30,30
6038,15,15
6039,48,48
6040,67,67
6041,54,54
6042,20,20
6043,75,75
6044,42,42
6045,22,22
6046,125,125
6047,41,41
6048,15,15
6049,15,15
6050,102,102
6051,95,95
6052,7,7
6053,43,43
6054,14,14
6055,34,34
6056,38,38
6057,17,17
6058,33,33
6059,108,108
6060,44,44
6061,6,6
6062,21,21
6063,16,16
6064,53,53
6065,13,13
6066,21,21
6067,6,6
6068,34,34
6069,38,38
6070,0,0
6071,0,0
6072,17,17
6073,54,54
6074,15,15
6075,55,55
6076,10,10
6077,31,31
6078,36,36
6079,21,21
6080,12,12
6081,10,10
6082,87,87
6083,5,5
6084,10,10
6085,55,55
6086,13,13
6087,9,9
6088,73,73
6089,42,42
6090,39,39
6091,8,8
6092,23,23
6093,31,31
6094,29,29
6095,60,60
6096,89,89
6097,27,27
6098,39,39
6099,45,45
6100,34,34
6101,3,3
6102,12,12
6103,19,19
6104,5,5
6105,31,31
6106,15,15
6107,78,78
6108,45,45
6109,74,74
6110,57,57
6111,11,11
6112,6,6
6113,21,21
6114,41,41
6115,16,16
6116,2,2
6117,26,26
6118,10,10
6119,66,66
6120,23,23
6121,72,72
6122,4,4
6123,84,84
6124,41,41
6125,51,51
6126,14,14
6127,42,42
6128,27,27
6129,10,10
6130,42,42
6131,30,30
6132,15,15
6133,0,0
6134,4,4
6135,25,25
6136,103,103
6137,19,19
6138,40,40
6139,6,6
6140,53,53
6141,54,54
6142,0,0
6143,20,20
6144,15,15
6145,0,0
6146,16,16
6147,19,19
6148,14,14
6149,81,81
6150,73,73
6151,25,25
6152,24,24
6153,46,46
6154,18,18
6155,35,35
6156,29,29
6157,6,6
6158,15,15
6159,14,14
6160,10,10
6161,27,27
6162,17,17
6163,34,34
6164,18,18
6165,8,8
6166,28,28
6167,20,20
6168,7,7
6169,3,3
6170,88,88
6171,62,62
6172,140,140
6173,49,49
6174,55,55
6175,39,39
6176,30,30
6177,2,2
6178,16,16
6179,60,60
6180,33,33
6181,3,3
6182,47,47
6183,14,14
6184,31,31
6185,38,38
6186,19,19
6187,24,24
6188,53,53
6189,5,5
6190,60,60
6191,18,18
6192,11,11
6193,41,41
6194,27,27
6195,43,43
6196,51,51
6197,22,22
6198,22,22
6199,3,3
6200,122,122
6201,26,26
6202,38,38
6203,22,22
6204,2,2
6205,20,20
6206,41,41
6207,28,28
6208,18,18
6209,145,145
6210,29,29
6211,24,24
6212,0,0
6213,126,126
6214,0,0
6215,51,51
6216,66,66
6217,50,50
6218,16,16
6219,11,11
6220,77,77
6221,26,26
6222,21,21
6223,35,35
6224,42,42
6225,16,16
6226,28,28
6227,49,49
6228,48,48
6229,15,15
6230,50,50
6231,23,23
6232,14,14
6233,23,23
6234,25,25
6235,14,14
6236,45,45
6237,20,20
6238,47,47
6239,49,49
6240,63,63
6241,13,13
6242,12,12
6243,149,149
6244,60,60
6245,48,48
6246,34,34
6247,30,30
6248,65,65
6249,102,102
6250,46,46
6251,29,29
6252,46,46
6253,60,60
6254,6,6
6255,30,30
6256,61,61
6257,8,8
6258,9,9
6259,26,26
6260,5,5
6261,61,61
6262,37,37
6263,0,0
6264,83,83
6265,6,6
6266,31,31
6267,5,5
6268,70,70
6269,26,26
6270,31,31
6271,49,49
6272,165,165
6273,71,71
6274,22,22
6275,14,14
6276,135,135
6277,29,29
6278,50,50
6279,50,50
6280,88,88
6281,0,0
6282,7,7
6283,7,7
6284,53,53
6285,59,59
6286,58,58
6287,11,11
6288,10,10
6289,28,28
6290,43,43
6291,72,72
6292,52,52
6293,15,15
6294,20,20
6295,45,45
6296,58,58
6297,30,30
6298,24,24
6299,32,32
6300,0,0
6301,54,54
6302,21,21
6303,14,14
6304,48,48
6305,3,3
6306,7,7
6307,14,14
6308,15,15
6309,15,15
6310,0,0
6311,35,35
6312,64,64
6313,25,25
6314,13,13
6315,3,3
6316,37,37
6317,24,24
6318,20,20
6319,86,86
6320,34,34
6321,6,6
6322,18,18
6323,81,81
6324,36,36
6325,21,21
6326,29,29
6327,11,11
6328,27,27
6329,11,11
6330,62,62
6331,24,24
6332,60,60
6333,16,16
6334,27,27
6335,35,35
6336,40,40
6337,66,66
6338,63,63
6339,34,34
6340,29,29
6341,21,21
6342,0,0
6343,23,23
6344,19,19
6345,64,64
6346,34,34
6347,91,91
6348,69,69
6349,0,0
6350,5,5
6351,35,35
6352,11,11
6353,2,2
6354,14,14
6355,0,0
6356,6,6
6357,58,58
6358,33,33
6359,11,11
6360,5,5
6361,29,29
